off1,off2,factor,chisqred
65,58,1.3654042194803944e-13,0.916058893724581
70,60,1.3690821661864223e-13,0.9163337637937095
70,58,1.3726650438623155e-13,0.9169555197154451
65,60,1.3608390660930955e-13,0.9320381757232803
65,56,1.3685528679710836e-13,0.933721121855237
60,58,1.3577774588599008e-13,0.9462700921167508
70,56,1.3752599639359874e-13,0.9499133983997928
75,60,1.3756760064401793e-13,0.9511123127830867
70,62,1.3644170059046198e-13,0.9523550528297268
60,56,1.3613967568328832e-13,0.9532118853179421
75,58,1.3785952380709876e-13,0.9649034968830219
75,62,1.3719231344642573e-13,0.9712228640102025
60,60,1.3530910537487353e-13,0.9760582518911666
65,54,1.370872946407153e-13,0.9850734788224019
65,62,1.3557974019368674e-13,0.9870966417290051
60,54,1.36400207619182e-13,0.9939027319264256
55,56,1.3548989700310364e-13,0.9957779530890024
250,60,1.3572282928571597e-13,0.9966857350662669
255,60,1.3602497473475657e-13,0.998967632698028
55,58,1.3510750920281405e-13,0.9991334790590636
75,56,1.3807419783428494e-13,1.007322779552153
255,62,1.3579388399973399e-13,1.008377754229402
70,54,1.3770835272685037e-13,1.011929307344333
250,62,1.3549404857374148e-13,1.020745915098643
250,58,1.3589354837476637e-13,1.0212992111527133
80,60,1.3818291428249048e-13,1.0253838133412372
55,54,1.357533044335036e-13,1.0271098263902247
75,64,1.3671772214639877e-13,1.0304853170124724
70,64,1.3591739487254718e-13,1.032468362965331
80,62,1.3785409494716973e-13,1.0339234823785408
255,58,1.3620038097410675e-13,1.0346093386145951
260,62,1.3610265269232806e-13,1.0347044306554298
245,60,1.3544254450516633e-13,1.036589198649716
260,60,1.3633161984769996e-13,1.0387923679464781
245,58,1.356295638934257e-13,1.0432361924799536
55,60,1.346535402153125e-13,1.047936522692873
60,62,1.3482741964772686e-13,1.0482680023919673
80,58,1.3844177850142557e-13,1.052792393206975
255,64,1.3552551947520113e-13,1.0544680819905627
65,52,1.3727363939689908e-13,1.064409970866763
60,52,1.366019073841436e-13,1.0667457649207683
50,56,1.3486679342258776e-13,1.0693959479231216
260,64,1.3582572655426242e-13,1.0697738359459417
75,54,1.3822878381740425e-13,1.0757249242505564
245,62,1.3518776050844186e-13,1.0760014123168007
80,64,1.3743047855216487e-13,1.0790123280449773
250,64,1.3521669820366344e-13,1.0813030707524682
260,58,1.3651676870261875e-13,1.081954780158832
250,56,1.3604088634884525e-13,1.0842053429790948
65,64,1.3505630510871304e-13,1.0863477769144172
50,54,1.351576257218089e-13,1.0887470666313341
50,58,1.3447105523895195e-13,1.08997919998947
265,62,1.364382606111793e-13,1.0917212302720123
55,52,1.3594585532012123e-13,1.0930149080115033
245,56,1.3576267731279396e-13,1.0949250403741042
240,58,1.3539829577731925e-13,1.0987818632970667
70,52,1.378570667521137e-13,1.098821473639981
255,56,1.363462211593979e-13,1.105264288727317
80,56,1.3859798973977327e-13,1.1053864484229032
265,60,1.3665266919589779e-13,1.110503729585755
240,60,1.3516741434191212e-13,1.1121123187203348
265,64,1.3615296922391812e-13,1.11468097048485
75,66,1.3621904076052454e-13,1.1311022882983903
255,66,1.3522394966974714e-13,1.1345419069108886
240,56,1.355409601267516e-13,1.136338775957854
260,66,1.355381089980668e-13,1.1373411552702999
55,62,1.341757370932727e-13,1.1423732805607867
85,62,1.3844614203614988e-13,1.142662153796431
50,52,1.3535606646831017e-13,1.14399307439019
85,60,1.3870582603382022e-13,1.1508872572713915
245,64,1.3487730049472058e-13,1.1538770524538378
70,66,1.3537472205554142e-13,1.1558252079128553
50,60,1.3403065079659697e-13,1.1591761401616578
80,66,1.3695119226491716e-13,1.1598657124381804
260,56,1.3666024813662203e-13,1.161874426470747
265,58,1.368304762089968e-13,1.1632081850860376
60,64,1.3432709175934574e-13,1.166159396065537
240,62,1.3487650546069547e-13,1.1674081575841175
85,64,1.3810669674420203e-13,1.1684530698374658
265,66,1.3585121486496384e-13,1.1708401510136996
75,52,1.3834976904796958e-13,1.1722301933420953
60,50,1.367390053253401e-13,1.1758121636037815
45,56,1.3433684462335392e-13,1.1775265589160469
65,50,1.3742430758091207e-13,1.1784325619105491
250,66,1.3487466156449296e-13,1.1784467782276755
45,54,1.3465323286965105e-13,1.1825103418772045
270,62,1.367881418436255e-13,1.1841846686374042
250,54,1.361564700648791e-13,1.1847169823674555
80,54,1.387138865442793e-13,1.1849207379023952
245,54,1.3587369560356735e-13,1.1856708927227853
85,58,1.3888485529877278e-13,1.1863687061307422
235,58,1.35135936950708e-13,1.1920940850923456
270,64,1.3651773356533784e-13,1.1927633580739387
55,50,1.3607427942012565e-13,1.198238191409844
235,56,1.3529837949353285e-13,1.2104236315904542
270,60,1.3700385857450765e-13,1.2107068029254313
255,54,1.3646677310410482e-13,1.2117800072571026
240,54,1.3563520167188603e-13,1.2131774995480675
45,58,1.3392585027223054e-13,1.2184176195058907
70,50,1.3796143395630817e-13,1.219859434089738
45,52,1.34842408864781e-13,1.2233329199004752
65,66,1.345340002063968e-13,1.2274392215759322
85,66,1.3766744012972106e-13,1.2309473379381097
235,60,1.3485536724511196e-13,1.2309901349978547
270,66,1.3621226789158833e-13,1.2371154784348195
50,50,1.3547388072348805e-13,1.2404921465706467
260,68,1.3516458968036527e-13,1.246451676251422
85,56,1.390071790480501e-13,1.247059770214393
265,56,1.3698142691683446e-13,1.2480661659488868
255,68,1.3479013858969833e-13,1.2597186297254777
240,64,1.345207427928809e-13,1.2619120956258265
265,68,1.355053521705318e-13,1.2663694598728477
235,54,1.354070065438772e-13,1.26755854494443
245,66,1.3446323359247017e-13,1.2694345959310025
270,58,1.371773090770939e-13,1.2700217043185469
260,54,1.3678683868573108e-13,1.274481682394236
75,68,1.3570461246935875e-13,1.2756866890685308
50,62,1.335726468345503e-13,1.276057403563998
80,68,1.3645405463250492e-13,1.2839795833256655
55,64,1.3367432078646752e-13,1.2842895274110253
80,52,1.3878149390505655e-13,1.2879172496398243
90,62,1.3891846212505398e-13,1.2952783887822008
75,50,1.3843379401411007e-13,1.3000433453884848
245,52,1.3596051383008563e-13,1.3038719164730346
90,64,1.3864928087935001e-13,1.3041242092379464
235,62,1.3453903539018235e-13,1.3046415273313452
40,54,1.341905117822349e-13,1.306754235005988
45,50,1.349573443963941e-13,1.3072732861546825
45,60,1.334772942066959e-13,1.3084116801722245
90,60,1.3912128735693211e-13,1.3132653495525277
250,52,1.3625039133000946e-13,1.3141846138539084
270,68,1.3587392262977875e-13,1.317773611836998
40,56,1.338446448747255e-13,1.3184911275074729
240,52,1.3569409190278782e-13,1.3188953383428927
275,64,1.3684540643409347e-13,1.3204796247955284
60,48,1.3682472298875231e-13,1.3238201299123662
230,56,1.350288197272172e-13,1.3247558450966639
275,62,1.3706459219949053e-13,1.3254433829694652
70,68,1.3482283248184394e-13,1.3257793273507397
60,66,1.3382540900079998e-13,1.3268074545962856
250,68,1.3435715075555784e-13,1.3269969388453031
85,54,1.3910085243849845e-13,1.3325583167550208
40,52,1.3439991714916082e-13,1.3331790249537339
85,68,1.3717339862635462e-13,1.333763844532176
230,58,1.3482737626021897e-13,1.3347045436074505
65,48,1.374889618964367e-13,1.3350570314305672
55,48,1.3615539223149058e-13,1.3392698265723566
255,52,1.3657905288580952e-13,1.3468515860083323
90,66,1.3830549532974184e-13,1.347542656900488
275,66,1.3655103020964574e-13,1.3519944742472576
90,58,1.3927893551869133e-13,1.3580413110419587
270,56,1.373151142940496e-13,1.359323158990267
235,52,1.354776811103204e-13,1.359784807396888
265,54,1.3711688804047483e-13,1.3621319232717262
275,60,1.372210376921851e-13,1.3628567679213015
230,54,1.3514917669593221e-13,1.3631884017139317
50,48,1.355362155267119e-13,1.3729654659101727
40,58,1.3343893756518432e-13,1.377598738028368
70,48,1.3800836883308503e-13,1.3783562601971324
230,60,1.3451015741771403e-13,1.3947530681323115
240,66,1.3403302635481556e-13,1.3977091793028766
40,50,1.3451881574029869e-13,1.4006327381392911
260,70,1.346941577388349e-13,1.4025794236267126
265,70,1.3509234327468018e-13,1.4049264574652105
260,52,1.369053811381016e-13,1.4138244251678125
275,68,1.3623369782477634e-13,1.4139326073782648
65,68,1.3400583597115634e-13,1.4163871385838673
235,64,1.341340171825068e-13,1.4167770176828691
80,50,1.388231244689964e-13,1.4222423807573181
90,56,1.3938784647702275e-13,1.4245382140387075
90,68,1.378770897815388e-13,1.4273804946991917
45,48,1.3501198206276115e-13,1.428520330539358
275,58,1.3734243669175906e-13,1.4297309550488286
245,68,1.3389498682725697e-13,1.4334360711879102
255,70,1.3427094093678681e-13,1.434358599531057
230,52,1.352313070802995e-13,1.4357429380148505
270,70,1.3549760845335988e-13,1.436678046977194
85,52,1.3916400270061805e-13,1.4408295935653541
50,64,1.3308484142841398e-13,1.4422922763871264
45,62,1.330070342363116e-13,1.4436776292225568
245,50,1.3602613417751585e-13,1.4492653480025919
80,70,1.359496058292724e-13,1.449720061541305
240,50,1.3574275384804975e-13,1.4540251638848412
35,54,1.337914022491559e-13,1.4545748897653739
75,48,1.3847438396184335e-13,1.46190911342198
75,70,1.351709714168915e-13,1.4629848033286112
35,52,1.3401510838029428e-13,1.4662545986000037
250,50,1.3633369843578006e-13,1.4679043316835056
55,66,1.3317903222741132e-13,1.47085434557888
85,70,1.3667344449112645e-13,1.476669632615402
270,54,1.3743202708417746e-13,1.4771366622881796
40,60,1.3298778234529255e-13,1.4820741999824227
235,50,1.35512515456088e-13,1.4832704667638008
95,64,1.3906371530195443e-13,1.4843279148684545
225,56,1.3470394748141674e-13,1.4856084621890469
35,56,1.3342428576190986e-13,1.4857967233516143
95,62,1.3930817671379168e-13,1.486649572809975
230,62,1.341501687645285e-13,1.488095064747573
280,64,1.369794268522573e-13,1.496067140138741
265,52,1.3726203330416701e-13,1.500447019505101
225,54,1.3484052157170806e-13,1.5046316050939985
40,48,1.3457884390324382e-13,1.507420325745932
280,66,1.3675927566692565e-13,1.5090350901466354
255,50,1.3668765805774931e-13,1.5090717426341052
275,70,1.3589029443858435e-13,1.5115781582300158
280,62,1.371512163121292e-13,1.5122338616282744
95,66,1.3875804532347616e-13,1.5128311468227744
60,46,1.3686325600228043e-13,1.5139516928642098
90,54,1.394756811406736e-13,1.5144997112138008
35,50,1.341380803952786e-13,1.5164703557667956
95,60,1.3950879855306892e-13,1.5170614754674845
225,58,1.3445881518090636e-13,1.5208760465601237
55,46,1.3619867137710407e-13,1.520884454781189
275,56,1.3745755249341774e-13,1.520962438782608
250,70,1.3375851620210722e-13,1.5213447570448246
65,46,1.3749087017289924e-13,1.535540696026561
70,70,1.3426686307966867e-13,1.5386170960138346
60,68,1.3331128499814799e-13,1.5399797543852722
230,50,1.35283222052223e-13,1.5423989229347854
90,70,1.3738987549470738e-13,1.546024726678021
50,46,1.35555214534825e-13,1.5470706020704827
280,68,1.36496421711123e-13,1.5545572457156873
280,60,1.372912224782217e-13,1.5547855248391873
225,52,1.3494332209877523e-13,1.5593239369112253
35,58,1.3299794579386688e-13,1.5614912912973906
235,66,1.3357396795244716e-13,1.568773862480386
95,58,1.3967458212432738e-13,1.5702589013354873
95,68,1.3839928247470765e-13,1.5749123617144374
85,50,1.392120056614061e-13,1.5769711443596877
240,68,1.333999100392399e-13,1.5796554672373526
260,50,1.3704020386509338e-13,1.5797762528479684
70,46,1.3800270735884648e-13,1.583872120675319
80,48,1.3884831153486917e-13,1.586151323713901
45,46,1.3501194669306417e-13,1.5909786083468376
265,72,1.34601644181843e-13,1.5930746399886437
225,60,1.3413059361188486e-13,1.5989017899488203
270,72,1.35055167377696e-13,1.6036402877241338
35,48,1.341990754155648e-13,1.6069745798941515
240,48,1.3578418281983675e-13,1.607231517551479
260,72,1.3413306137506254e-13,1.6102856551943678
245,48,1.3608518509309173e-13,1.6144959839553317
270,52,1.3755573389834455e-13,1.6156254267524086
230,64,1.3367042493297476e-13,1.6173908206116725
280,58,1.374117614025439e-13,1.6230280212611983
45,64,1.3251087953067214e-13,1.6239314744687654
235,48,1.355257125111304e-13,1.6269527701528925
90,52,1.395360484312262e-13,1.6276366828851379
40,62,1.3251091360640751e-13,1.6280163792002083
30,52,1.337001629514793e-13,1.6307936076821168
280,70,1.3620008741174e-13,1.632652454070447
30,54,1.334442273413908e-13,1.6358163478813992
275,54,1.3758902865469767e-13,1.6366618847388972
95,56,1.3978156189943676e-13,1.63980747268667
250,48,1.364129778945985e-13,1.6408030953838586
245,70,1.3325358712215874e-13,1.6416530151308044
50,66,1.3257970302316841e-13,1.646895067977516
225,50,1.3500797661897387e-13,1.6484874472350939
65,70,1.3347504735568556e-13,1.6491604475434665
40,46,1.3457833246342869e-13,1.6545902352069288
275,72,1.354884570223301e-13,1.6561142224192416
255,72,1.3365873663966015e-13,1.659239902807336
30,50,1.3384010884665858e-13,1.6593843824372168
80,72,1.3540477725323445e-13,1.6601233423368644
265,50,1.3741249132948613e-13,1.6611052591493618
85,72,1.3613839570290587e-13,1.6615291211876073
75,46,1.3845870376277252e-13,1.6640641730114343
95,70,1.3796989835554266e-13,1.6650217592458496
230,48,1.352895974758989e-13,1.6748249385237854
220,56,1.3439729112800403e-13,1.6750279921214508
220,54,1.34554044796867e-13,1.6773880884105978
35,60,1.325377863553217e-13,1.678878711364929
30,56,1.3307755014902946e-13,1.6833489783722142
255,48,1.3678194952693616e-13,1.6866372769306321
100,64,1.39424203296641e-13,1.6923825635861458
75,72,1.3459456728120102e-13,1.698796142421814
55,68,1.326601088374567e-13,1.7022144140117397
225,62,1.3373002068707924e-13,1.7034083931258297
100,62,1.3965865414303766e-13,1.7056932936356157
90,72,1.3683428278821082e-13,1.7058962348858888
100,66,1.3913690088294967e-13,1.7067713049975972
280,56,1.375488686760096e-13,1.712735532653426
285,64,1.369558014005478e-13,1.7148922166379743
220,52,1.346643874368544e-13,1.7171771766613362
285,66,1.3677887659426901e-13,1.718401647549487
60,44,1.3694151623882732e-13,1.724974850279104
30,48,1.3390593736329024e-13,1.7281133715078723
220,58,1.3411139723133566e-13,1.7312224219799475
95,54,1.3985383698450424e-13,1.733078379384198
55,44,1.361886688040286e-13,1.7353139769226662
285,62,1.3713109502615772e-13,1.7353671360603997
35,46,1.3420218652567262e-13,1.7384003120922142
85,48,1.3924086487988537e-13,1.7384502063204619
100,60,1.3984887052768395e-13,1.7435865618599722
260,48,1.371374589407307e-13,1.7485168377904776
285,68,1.3657690304458507e-13,1.7494840000657792
50,44,1.355534379591566e-13,1.7519936853248252
100,68,1.3879232790033086e-13,1.752161184207673
280,72,1.3583951312367416e-13,1.7530527390886366
250,72,1.3309665127622083e-13,1.7609380783022517
225,48,1.3502604849034053e-13,1.7633496536328508
235,68,1.3290075095609565e-13,1.7646590863272433
90,50,1.3958219000214453e-13,1.7652005885821773
275,52,1.377357983029072e-13,1.7676257714028825
65,44,1.3745473420446707e-13,1.7687363198043877
270,50,1.37675924430346e-13,1.7695636419208003
30,58,1.3267635429483605e-13,1.7711778524509048
285,60,1.373000632622481e-13,1.7780820687306955
230,66,1.3306189469123877e-13,1.7809289627407228
240,46,1.3580566625884408e-13,1.7818815460955857
80,46,1.38842189526235e-13,1.782124922830671
45,44,1.349779476713846e-13,1.7848683730243766
60,70,1.327761449807406e-13,1.7910438887314355
95,72,1.374473458637598e-13,1.7910617129221436
235,46,1.3553918409794468e-13,1.7922888923538423
220,50,1.347380977947848e-13,1.793292237611879
245,46,1.3610852731743509e-13,1.7940476165928172
240,70,1.327214848680598e-13,1.7988558241489352
70,72,1.3369482898652193e-13,1.7992390134634633
100,58,1.3999596380161815e-13,1.8011637372080882
285,70,1.363549609402125e-13,1.809669994085414
270,74,1.3456672177738428e-13,1.8098286435795
265,48,1.3748829757981388e-13,1.8161261014163625
220,60,1.3376642673563233e-13,1.816870250968338
70,44,1.3796903622686359e-13,1.817774635514069
40,64,1.3200782052868352e-13,1.8184871626552574
250,46,1.3643711123633227e-13,1.8185622973925422
25,52,1.3348561802289685e-13,1.8209561432756107
280,54,1.377095358399305e-13,1.8210910319738496
265,74,1.340319424707931e-13,1.8226740593009885
100,70,1.3836727533540226e-13,1.8262135091992626
230,46,1.3528925173181143e-13,1.8308570889786262
25,50,1.336248126655438e-13,1.8353946676489645
40,44,1.3452737167757973e-13,1.8364497910353452
25,54,1.3322252886557525e-13,1.83660589706333
35,62,1.3207873183995593e-13,1.837391216574562
45,66,1.3200321618389041e-13,1.839141582881005
30,46,1.338944319405312e-13,1.841001502246892
275,74,1.3504533276821128e-13,1.8410451530626304
225,64,1.3319002342657457e-13,1.8410547597607236
285,58,1.3747278737713292e-13,1.8410589857160424
95,52,1.398997819716336e-13,1.8468913371172944
260,74,1.3351991546998136e-13,1.8527820697712432
255,46,1.3681227866831668e-13,1.856235857284559
215,54,1.3431326331279235e-13,1.870945528082765
100,56,1.4006404087214865e-13,1.8733306882768024
85,74,1.355506318309715e-13,1.875678821560086
25,48,1.336919292827691e-13,1.8831741260373431
215,56,1.3414673783604086e-13,1.8843331094841955
245,72,1.3255220767611497e-13,1.8892878843046401
50,68,1.3202920195493458e-13,1.8896785339299402
75,44,1.3840393864662058e-13,1.890559377332735
220,48,1.3476598609969028e-13,1.894109140704659
25,56,1.328840154401471e-13,1.8965883551202323
90,74,1.3622503411308044e-13,1.897527855419196
80,74,1.3482092072144438e-13,1.8986469923308706
215,52,1.344062268869119e-13,1.8993215397848249
30,60,1.3225240694167273e-13,1.8994353842901057
285,72,1.360804953911237e-13,1.9026513307903685
225,46,1.350270605413777e-13,1.902692385206953
260,46,1.371778807521395e-13,1.904994609838754
35,44,1.3414475241574487e-13,1.9078970212147341
270,48,1.3772917995656808e-13,1.9096371971501238
275,50,1.378555882469672e-13,1.9110454627033067
280,74,1.3542231575014986e-13,1.916578660170277
255,74,1.3299393510517705e-13,1.9180685268695181
285,56,1.3766313332877602e-13,1.92083959197332
