off1,off2,factor,chisqred
65,58,1.362809771588105e-13,0.5114192078718308
65,56,1.3666658710395672e-13,0.5128534944343494
60,56,1.3593019737216823e-13,0.5148920961595472
60,58,1.3550024319247493e-13,0.5217787734168492
70,58,1.3703573807526325e-13,0.5251182038975793
55,56,1.3527483679486031e-13,0.5344331541618702
60,54,1.3627003560163845e-13,0.5393416939052781
70,56,1.3736915070990485e-13,0.5394830924416121
65,60,1.3575798247293728e-13,0.5426291832790129
70,60,1.366060954749477e-13,0.5435473480092944
65,54,1.369756786684793e-13,0.5474819615382117
55,54,1.356185539349257e-13,0.5498924692215039
55,58,1.3482540919908116e-13,0.5505745986899188
60,60,1.3497259668973125e-13,0.5641555882938314
75,58,1.3766577437400123e-13,0.5802762772594401
50,56,1.3465567785456395e-13,0.5821174887644217
70,54,1.3762762767380088e-13,0.5834194246501015
50,54,1.350277307808111e-13,0.5861384170022182
75,60,1.3729787373390303e-13,0.5887354687260554
60,52,1.3655732014219242e-13,0.5957728383725712
70,62,1.36075177286065e-13,0.597861176307036
55,52,1.3590148121799507e-13,0.5983389240542337
75,56,1.3795673638762376e-13,0.6016649385387572
55,60,1.3431847222960366e-13,0.6110515325923271
65,52,1.3724095684173986e-13,0.6111025587753406
65,62,1.3519487179763737e-13,0.61371281476492
50,58,1.3419813144910587e-13,0.6137258320546927
50,52,1.3532013293926626e-13,0.6231024555537973
250,60,1.3538093297902536e-13,0.6273599623596472
75,62,1.3685495453976324e-13,0.6297450574733899
250,58,1.356260475462697e-13,0.632734280124554
255,60,1.3568691563324256e-13,0.6384171757805198
245,58,1.3536967634539725e-13,0.6402967329296961
245,60,1.3511989020833947e-13,0.6488279034639898
75,54,1.3818603275556163e-13,0.6506740031739956
60,62,1.344379775400698e-13,0.6512482504767271
45,54,1.345382442214783e-13,0.6519488086575017
255,58,1.3593572875937804e-13,0.6542736033767401
70,52,1.378513059316107e-13,0.654454340415918
250,62,1.351363916442158e-13,0.6552111423927676
255,62,1.354281248780336e-13,0.655874181839353
45,56,1.3414086486333674e-13,0.6621130897175771
80,60,1.3796010846935248e-13,0.6650837255437324
245,56,1.3560417184414426e-13,0.6667628362069778
80,58,1.38300098061849e-13,0.667233151453827
250,56,1.3586653869342818e-13,0.6728618786964872
45,52,1.3482342981043776e-13,0.6735865456620053
240,58,1.3515353245745514e-13,0.6780296597675044
55,50,1.3614739528882914e-13,0.6784971032594981
260,60,1.3600977364095817e-13,0.681060862044289
60,50,1.3680298130349309e-13,0.6822437589369861
240,56,1.3540619661429579e-13,0.6869146581660707
260,62,1.3574081331803492e-13,0.6894066502989948
