off1,off2,factor,chisqred
60,58,1.3069800510020224e-13,0.7780172730877122
60,56,1.3105393429993624e-13,0.7833358142927755
55,56,1.3047676653412414e-13,0.7846959740425322
65,58,1.313849827290847e-13,0.7878953915772862
55,58,1.301023523889302e-13,0.7882436570013529
65,56,1.3169893651893292e-13,0.8008918405223211
65,60,1.3093873791718193e-13,0.8044402666854734
60,60,1.302414142629881e-13,0.8068850784773771
50,56,1.2992893361009441e-13,0.8132959044977828
55,54,1.3073868085299173e-13,0.8133657762114878
70,58,1.3204751561744772e-13,0.8192389012443395
60,54,1.3131516055686822e-13,0.8194140227903848
70,60,1.3169040053014976e-13,0.8240610003398154
50,54,1.302151013243857e-13,0.8321514908582031
50,58,1.2954333821051225e-13,0.8322076426342871
55,60,1.296602663219974e-13,0.8353432152981185
70,56,1.3231207209818776e-13,0.8439602566320517
65,54,1.3193600598036336e-13,0.8446386829701017
65,62,1.3044831419010248e-13,0.858123539626524
70,62,1.312326221513097e-13,0.8620162295406867
250,60,1.3059271725018827e-13,0.869935853854443
45,56,1.2947307023645094e-13,0.8737498829584907
55,52,1.3093394063268046e-13,0.8746460913192002
60,62,1.2977342768035084e-13,0.876687573319276
45,54,1.2978271433446353e-13,0.879645838902562
75,60,1.322970439842922e-13,0.8817020379609655
50,52,1.3041406174418088e-13,0.8846521441379004
255,60,1.3086886129756525e-13,0.8846798903362362
60,52,1.3152091935339948e-13,0.8860270231648688
75,58,1.3259417591895624e-13,0.8865274121416528
250,58,1.3077108434866146e-13,0.8866795355976096
245,60,1.3034772159619211e-13,0.8881300469618155
245,58,1.3053838459235064e-13,0.8900652229256693
70,54,1.3250513053877411e-13,0.8949560282834993
50,60,1.2911583559389163e-13,0.8980467888527703
250,62,1.3036023834661867e-13,0.8997170408700976
255,62,1.306307999179358e-13,0.9028189163391968
75,62,1.3192278257748357e-13,0.9076383595395137
255,58,1.3105565403597285e-13,0.9090710978411729
45,58,1.2907317604562522e-13,0.9122302360289752
65,52,1.3213053160696218e-13,0.9146202288299842
75,56,1.3281901518635607e-13,0.9176636314152172
45,52,1.2997108812501217e-13,0.9193806235688116
240,58,1.3034390664256734e-13,0.9206967087444237
55,62,1.291970396099816e-13,0.9260599610577813
260,60,1.3115940489944163e-13,0.9280012003893572
245,62,1.3009317982252648e-13,0.9304813248954418
245,56,1.306788845483378e-13,0.9349037234915488
260,62,1.3092016903901842e-13,0.9354623423912771
240,60,1.3011259276191693e-13,0.9370463422564077
250,56,1.3092845205546046e-13,0.9399077704802418
70,64,1.3072190796450235e-13,0.9411849977185264
240,56,1.304915744238784e-13,0.9533702227996054
65,64,1.299404928020412e-13,0.9544002003177264
255,64,1.3035843292810573e-13,0.9556997568197787
260,58,1.313591354328927e-13,0.9569434870311097
40,54,1.2938828145616763e-13,0.9587878941950894
250,64,1.300828962095422e-13,0.9637475278659922
255,56,1.3121557060582748e-13,0.9667204588682009
80,60,1.3287284862477843e-13,0.9683889103564127
75,64,1.3145618820120485e-13,0.9693784798263572
70,52,1.3266691375285898e-13,0.9694308505172978
40,56,1.2904970747493173e-13,0.9696370877833389
75,54,1.3298871756653882e-13,0.9720750965169891
