RA [deg]   Dec,[deg]   del_dist [arcsec],err_pos_sb [arcsec],M_obs [mag],M_err [mag],M_shift [mag],filter,X [pixel],Y [pixel],Extension,object,file,t_target,alpha,r,r_rate,delta,delta_rate
205.69028,-10.004989  3.3889088e-005,0.009,21.26132,0.1571,20.73995,V,4275.8184,5190.0193,4,4179,kmts.20180407.009359.fits,2458216.012,2.6618,3.807767466,4.7521132,2.818288276,-0.735526
205.68893,-10.004545  7.4531293e-005,0.009,21.47895,0.1961,20.95758,V,4287.0824,5193.9664,4,4179,kmts.20180407.009363.fits,2458216.012,2.6618,3.807767466,4.7521132,2.818288276,-0.735526
205.42002,-9.9017673   0.00013475726,0.009,21.31988,0.109,20.89416,V,8963.6199,6674.4478,3,4179,kmtc.20180409.017399.fits,2458217.616,2.155,3.812154651,4.7183545,2.818201229,0.1406328
205.41969,-9.9016677   0.00011302541,0.009,21.02464,0.1181,20.59892,V,8966.4433,6677.9939,3,4179,kmtc.20180409.017400.fits,2458217.616,2.155,3.812154651,4.7183545,2.818201229,0.1406328
205.41938,-9.9015301   0.00013059043,0.009,21.3303,0.103,20.90458,V,8968.4933,6680.7521,3,4179,kmtc.20180409.017401.fits,2458217.616,2.155,3.812154651,4.7183545,2.818201229,0.1406328
205.41905,-9.9014203   0.00011780298,0.009,21.49651,0.1385,21.07079,V,8970.4314,6683.9221,3,4179,kmtc.20180409.017402.fits,2458217.616,2.155,3.812154651,4.7183545,2.818201229,0.1406328
205.41866,-9.9012919   0.00011222284,0.009,21.2777,0.1296,20.85198,V,8973.6315,6686.9132,3,4179,kmtc.20180409.017403.fits,2458217.616,2.155,3.812154651,4.7183545,2.818201229,0.1406328
205.41803,-9.9010587   0.00010882413,0.009,21.09649,0.1026,20.67077,V,8977.8061,6692.5676,3,4179,kmtc.20180409.017405.fits,2458217.616,2.155,3.812154651,4.7183545,2.818201229,0.1406328
205.41769,-9.9009554  8.7769430e-005,0.009,21.18366,0.1006,20.75794,V,8980.2547,6695.4565,3,4179,kmtc.20180409.017406.fits,2458217.616,2.155,3.812154651,4.7183545,2.818201229,0.1406328
205.41739,-9.9008096   0.00010775493,0.009,21.01339,0.1112,20.58767,V,8982.8559,6698.9473,3,4179,kmtc.20180409.017407.fits,2458217.616,2.155,3.812154651,4.7183545,2.818201229,0.1406328
205.41702,-9.9007585  5.2170960e-005,0.009,21.0304,0.089,20.60468,V,8984.7559,6702.2921,3,4179,kmtc.20180409.017408.fits,2458217.616,2.155,3.812154651,4.7183545,2.818201229,0.1406328
204.88741,-9.6983043   0.00019723076,0.009,20.94619,0.1141,20.24323,V,5019.4385,3960.038,1,4179,kmta.20180411.051988.fits,2458220.389,1.277,3.819663512,4.6601303,2.819983755,1.7498716
204.88706,-9.6981644   0.00017385647,0.009,20.82604,0.0913,20.12308,V,5022.3529,3961.2219,1,4179,kmta.20180411.051989.fits,2458220.389,1.277,3.819663512,4.6601303,2.819983755,1.7498716
